Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,year,id
Afghanistan,153,3.575,0.31982,0.30335,0.23414,0.09719,0.3651,2015,4
Afghanistan,154,3.36,0.38227,0.17344,0.1643,0.07112,0.31268,2016,4
Afghanistan,141,3.79399991,0.401477218,0.180746779,0.10617952,0.06115783,0.311870933,2017,4
Afghanistan,145,3.632,0.332,0.255,0.085,0.036,0.191,2018,4
Afghanistan,154,3.203,0.35,0.361,0,0.025,0.158,2019,4
Albania,95,4.959,0.87867,0.81325,0.35733,0.06413,0.14272,2015,8
Albania,109,4.655,0.9553,0.73007,0.31866,0.05301,0.1684,2016,8
Albania,109,4.644000053,0.996192753,0.731159747,0.381498635,0.039864216,0.201312944,2017,8
Albania,112,4.586,0.916,0.79,0.419,0.032,0.149,2018,8
Albania,107,4.719,0.947,0.874,0.383,0.027,0.178,2019,8
Algeria,68,5.605,0.93929,0.61766,0.28579,0.17383,0.07822,2015,12
Algeria,38,6.355,1.05266,0.61804,0.21006,0.16157,0.07044,2016,12
Algeria,53,5.872000217,1.091864467,0.617584646,0.233335808,0.14609611,0.069436647,2017,12
Algeria,84,5.295,0.979,0.687,0.077,0.135,0.055,2018,12
Algeria,88,5.211,1.002,0.785,0.086,0.114,0.073,2019,12
American Samoa (United States),,,,,,,,2015,16
American Samoa (United States),,,,,,,,2016,16
American Samoa (United States),,,,,,,,2017,16
American Samoa (United States),,,,,,,,2018,16
American Samoa (United States),,,,,,,,2019,16
Andorra,,,,,,,,2015,20
Andorra,,,,,,,,2016,20
Andorra,,,,,,,,2017,20
Andorra,,,,,,,,2018,20
Andorra,,,,,,,,2019,20
Angola,137,4.033,0.75778,0.16683,0.10384,0.07122,0.12344,2015,24
Angola,141,3.866,0.84731,0.04991,0.00589,0.08434,0.12071,2016,24
Angola,140,3.795000076,0.85842818,0.049868666,0,0.069720335,0.09792649,2017,24
Angola,142,3.795,0.73,0.269,0,0.061,0.079,2018,24
Angola,,,,,,,,2019,24
Anguilla (United Kingdom),,,,,,,,2015,660
Anguilla (United Kingdom),,,,,,,,2016,660
Anguilla (United Kingdom),,,,,,,,2017,660
Anguilla (United Kingdom),,,,,,,,2018,660
Anguilla (United Kingdom),,,,,,,,2019,660
Antigua and Barbuda,,,,,,,,2015,28
Antigua and Barbuda,,,,,,,,2016,28
Antigua and Barbuda,,,,,,,,2017,28
Antigua and Barbuda,,,,,,,,2018,28
Antigua and Barbuda,,,,,,,,2019,28
Argentina,30,6.574,1.05351,0.78723,0.44974,0.08484,0.11451,2015,32
Argentina,26,6.65,1.15137,0.69711,0.42284,0.07296,0.10989,2016,32
Argentina,24,6.598999977,1.185295463,0.695137084,0.494519204,0.059739888,0.109457061,2017,32
Argentina,29,6.388,1.073,0.744,0.57,0.054,0.062,2018,32
Argentina,47,6.086,1.092,0.881,0.471,0.05,0.066,2019,32
Armenia,127,4.35,0.76821,0.7299,0.19847,0.039,0.07855,2015,51
Armenia,121,4.36,0.86086,0.64083,0.14037,0.03616,0.07793,2016,51
Armenia,121,4.375999928,0.900596738,0.637524426,0.198303267,0.026674422,0.083488092,2017,51
Armenia,129,4.321,0.816,0.666,0.26,0.028,0.077,2018,51
Armenia,116,4.559,0.85,0.815,0.283,0.064,0.095,2019,51
Aruba (Netherlands),,,,,,,,2015,533
Aruba (Netherlands),,,,,,,,2016,533
Aruba (Netherlands),,,,,,,,2017,533
Aruba (Netherlands),,,,,,,,2018,533
Aruba (Netherlands),,,,,,,,2019,533
Australia[g],,,,,,,,2015,36
Australia[g],,,,,,,,2016,36
Australia[g],,,,,,,,2017,36
Australia[g],,,,,,,,2018,36
Australia[g],,,,,,,,2019,36
Austria,13,7.2,1.33723,0.89042,0.62433,0.18676,0.33088,2015,40
Austria,12,7.119,1.45038,0.80565,0.54355,0.21348,0.32865,2016,40
Austria,13,7.006000042,1.487097263,0.815328419,0.56776619,0.221060365,0.316472322,2017,40
Austria,12,7.139,1.341,0.891,0.617,0.224,0.242,2018,40
Austria,10,7.246,1.376,1.016,0.532,0.226,0.244,2019,40
Azerbaijan[k],,,,,,,,2015,31
